ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
16862,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,153831,,,,,,,,,,,,,,
16863,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,89931,,,,,,,,,,,,,,
16864,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,99932,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16865,Akıllı Saat / Bileklik,Huawei Watch Fit 3,Orta Segment,Fitness & Spor,—,,,,,RTOS,4401,,,,,5ATM,Evet,,,,,,,,10
16866,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,54854,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
16867,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,19947,,,Hayır,Evet,IP68,,,,,,,,,
16868,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,69351,,,,,,,,,,,,,,
16869,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,32928,,,,,,,,,,,,,,
16870,Bilgisayar,MSI Raider GE78 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,17.3 inç QHD+ MiniLED 240Hz,Windows 11 Home,120582,,,,,,,,,,,,,,
16871,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,155490,,,,,,,,,,,,,,
16872,Kulaklık,Samsung Galaxy Buds 4,Orta Segment,Günlük Kullanım,,,,,,,3990,,,,,,,TWS,10mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
16873,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32819,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
16874,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4451,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
16875,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12935,,,,,,,,,,,,,,
16876,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,14103,,,Hayır,Evet,IP68,,,,,,,,,
16877,Kulaklık,Apple AirPods Pro 3,Üst Segment,Günlük Kullanım,,,,,,,11655,,,,,,,TWS,6mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.4,8 saat (kılıfla 36),
16878,Telefon,iPhone 17 Pro Max 2TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,2TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,189574,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16879,Telefon,Sony Xperia 10 VII 128GB,Orta Segment,Günlük Kullanım,Snapdragon 6 Gen 1,6GB,128GB,,6.1 inç FHD+ OLED 60Hz,Android 15,19006,5000,48+8MP,Evet,Evet,IP68,,,,,,,,,
16880,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5510,,,,,5ATM,Evet,,,,,,,,14
16881,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41184,,,,,,,,,,,,,,
16882,Telefon,OnePlus Nord 4 256GB,Üst Segment,Günlük Kullanım,Snapdragon 7+ Gen 3,12GB,256GB,,6.74 inç AMOLED 120Hz,Android 15,19160,5500,50+8MP,Evet,Evet,IP65,,,,,,,,,
16883,Telefon,POCO X7 Pro 256GB,Orta Segment,Oyun,MediaTek Dimensity 8400 Ultra,8GB,256GB,,6.67 inç AMOLED 120Hz,Android 15,15781,5900,50+8+2MP,Evet,Evet,IP64,,,,,,,,,
16884,Akıllı Saat / Bileklik,Xiaomi Watch S4 Sport,Orta Segment,Günlük Kullanım,Snapdragon W5,,,,,RTOS,5359,,,,,5ATM,Evet,,,,,,,,15
16885,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,119204,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16886,Kulaklık,JBL Tune 770NC,Giriş Seviyesi,Bütçe Dostu,,,,,,,3074,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,38 saat,
16887,Kulaklık,Jabra Elite 10,Üst Segment,İş & Video Konferans,,,,,,,6916,,,,,,,TWS,10mm,20Hz-20kHz,MultiSensor ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 27),
16888,Akıllı Saat / Bileklik,Samsung Galaxy Fit 3,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2477,,,,,5ATM,Hayır,,,,,,,,13
16889,Bilgisayar,HP Pavilion 15 i3,Bütçe,Ofis,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13639,,,,,,,,,,,,,,
16890,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,69175,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
16891,Telefon,iPhone 17 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,256GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,85691,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
16892,Kulaklık,Bose QuietComfort Ultra,Premium & Hi-Fi,Müzik Dinleme,,,,,,,19262,,,,,,,Kulak Üstü Kablosuz,35mm,20Hz-22.4kHz,WorldWide ANC,6 mikrofon,Bluetooth 5.3,24 saat,
16893,Tablet,Microsoft Surface Pro 10 i7 512GB,Pro,İş,Intel Core Ultra 7 164U,32GB,512GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,80936,,,Hayır,Evet,Yok,,,,,,,,,
16894,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57996,,,,,,,,,,,,,,
16895,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,26108,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
16896,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,14860,,,Hayır,Evet,IP68,,,,,,,,,
16897,Tablet,Microsoft Surface Pro 10 i5 256GB,Pro,İş,Intel Core Ultra 5 134U,16GB,256GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,58770,,,Hayır,Evet,Yok,,,,,,,,,
16898,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,22137,,,Hayır,Evet,IP68,,,,,,,,,
16899,Bilgisayar,MSI Katana 15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,43236,,,,,,,,,,,,,,
16900,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,70478,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
16901,Akıllı Saat / Bileklik,Polar Vantage V3,Premium & Spor,Profesyonel Spor,—,,,,,Polar OS,21790,,,,,10ATM,Evet,,,,,,,,43
16902,Telefon,Asus ROG Phone 9 Pro 512GB,Amiral Gemisi,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.78 inç AMOLED 185Hz,Android 15,54847,5800,50+13+5MP,Evet,Evet,IP54,,,,,,,,,
16903,Telefon,OnePlus 13 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.82 inç LTPO AMOLED 120Hz,Android 15,40303,6000,50+50+50MP,Evet,Evet,IP65,,,,,,,,,
16904,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 40mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,11570,,,,,5ATM,Evet,,,,,,,,40
16905,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,97962,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16906,Bilgisayar,MacBook Air M4 13 16GB 256GB,Üst Segment,Yazılım Geliştirme,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,54345,,,,,,,,,,,,,,
16907,Akıllı Saat / Bileklik,Xiaomi Watch S4 Sport,Orta Segment,Günlük Kullanım,Snapdragon W5,,,,,RTOS,5413,,,,,5ATM,Evet,,,,,,,,15
16908,Akıllı Saat / Bileklik,Garmin Instinct 3 Solar,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,24224,,,,,MIL-STD,Evet,,,,,,,,Sonsuz
16909,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,25974,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
16910,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41519,,,,,,,,,,,,,,
16911,Bilgisayar,MacBook Air M5 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,60657,,,,,,,,,,,,,,
16912,Telefon,Motorola Edge 60 Pro 256GB,Üst Segment,Fotoğrafçılık,Snapdragon 7 Gen 4,12GB,256GB,,6.7 inç pOLED 144Hz,Android 15,22113,4500,50+13+10MP,Evet,Evet,IP68,,,,,,,,,
16913,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,64065,,,,,,,,,,,,,,
16914,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,164388,,,,,,,,,,,,,,
16915,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,15116,,,Hayır,Evet,IP68,,,,,,,,,
16916,Bilgisayar,Dell XPS 15 i7 RTX 4070,İş İstasyonu,İçerik Üretimi,Intel Core i7-13700H,32GB,1TB SSD,NVIDIA RTX 4070 8GB,15.6 inç 3.5K OLED 60Hz,Windows 11 Pro,87581,,,,,,,,,,,,,,
16917,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,42361,,,,,,,,,,,,,,
16918,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16582,,,,,10ATM,Evet,,,,,,,,40
16919,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5383,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
16920,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14463,,,,,,,,,,,,,,
16921,Akıllı Saat / Bileklik,Polar Vantage V3,Premium & Spor,Profesyonel Spor,—,,,,,Polar OS,22419,,,,,10ATM,Evet,,,,,,,,43
16922,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,30381,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
16923,Telefon,Samsung Galaxy S25 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Elite,12GB,512GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,82972,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
16924,Kulaklık,Audio-Technica ATH-M50xBT2,Orta Segment,Stüdyo Kayıt,,,,,,,6081,,,,,,,Kulak Üstü Kablosuz,45mm,15Hz-28kHz,Pasif Yalıtım,2 mikrofon,Bluetooth 5.0,50 saat,
16925,Tablet,Apple iPad 10. nesil Wi-Fi 256GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,256GB,,10.9 inç IPS 60Hz,iPadOS 18,20032,,,Hayır,Evet,IP68,,,,,,,,,
16926,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3421,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
16927,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,11238,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
16928,Bilgisayar,Samsung Galaxy Book4 Pro i7,Üst Segment,Günlük Kullanım,Intel Core Ultra 7 155H,16GB,512GB SSD,Intel Arc Graphics,14 inç 2.8K AMOLED 120Hz,Windows 11 Home,40245,,,,,,,,,,,,,,
16929,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,150377,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16930,Bilgisayar,Dell Inspiron 15 3520 i3,Bütçe,Öğrenci,Intel Core i3-1215U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13005,,,,,,,,,,,,,,
16931,Kulaklık,Xiaomi Buds 5 Pro,Üst Segment,Günlük Kullanım,,,,,,,4581,,,,,,,TWS,11mm,20Hz-40kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.4,9 saat (kılıfla 38),
16932,Kulaklık,Anker Soundcore Space Q45,Orta Segment,Günlük Kullanım,,,,,,,3004,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,LDAC ANC,4 mikrofon,Bluetooth 5.3,40 saat,
16933,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,55215,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
16934,Bilgisayar,MacBook Air M4 13 16GB 256GB,Üst Segment,Yazılım Geliştirme,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,53075,,,,,,,,,,,,,,
16935,Akıllı Saat / Bileklik,Polar Vantage V3,Premium & Spor,Profesyonel Spor,—,,,,,Polar OS,22172,,,,,10ATM,Evet,,,,,,,,43
16936,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,39732,,,,,,,,,,,,,,
16937,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,41852,,,,,10ATM,Evet,,,,,,,,29
16938,Kulaklık,Samsung Galaxy Buds 3 FE,Giriş Seviyesi,Bütçe Dostu,,,,,,,3526,,,,,,,TWS,8.5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,5 saat (kılıfla 21),
16939,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38811,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
16940,Kulaklık,Huawei Freebuds 5i,Orta Segment,Günlük Kullanım,,,,,,,2986,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,3 mikrofon,Bluetooth 5.2,7.5 saat (kılıfla 28),
16941,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,40491,,,,,,,,,,,,,,
16942,Tablet,Apple iPad Pro M4 13 Wi-Fi 256GB,Pro,3D Modelleme,Apple M4,16GB,256GB,,13 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,68437,,,Hayır,Evet,IP68,,,,,,,,,
16943,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,89809,,,,,,,,,,,,,,
16944,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,32526,,,,,,,,,,,,,,
16945,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,39709,,,,,,,,,,,,,,
16946,Tablet,Microsoft Surface Pro 10 i7 512GB,Pro,İş,Intel Core Ultra 7 164U,32GB,512GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,79909,,,Hayır,Evet,Yok,,,,,,,,,
16947,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38048,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
16948,Bilgisayar,Acer Aspire 3 A315 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12711,,,,,,,,,,,,,,
16949,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,165662,,,,,,,,,,,,,,
16950,Akıllı Saat / Bileklik,Xiaomi Smart Band 9 Pro,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2205,,,,,5ATM,Evet,,,,,,,,21
16951,Bilgisayar,Asus VivoBook 16X i5,Orta Segment,Multitasking,Intel Core i5-13500H,16GB,512GB SSD,NVIDIA RTX 2050 4GB,16 inç WUXGA IPS 60Hz,Windows 11 Home,24747,,,,,,,,,,,,,,
16952,Tablet,Apple iPad Air M2 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Apple M2,8GB,256GB,,11 inç Liquid Retina IPS 60Hz,iPadOS 18,30191,,,Hayır,Evet,IP68,,,,,,,,,
16953,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,17909,,,,,10ATM,Evet,,,,,,,,140
16954,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,68791,,,,,,,,,,,,,,
16955,Akıllı Saat / Bileklik,Amazfit GTR 5,Orta Segment,Fitness & Spor,—,,,,,Zepp OS,4497,,,,,5ATM,Evet,,,,,,,,14
16956,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,68857,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
16957,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5493,,,,,5ATM,Evet,,,,,,,,14
16958,Telefon,iPhone 16 256GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,81448,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
16959,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,124972,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16960,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13920,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
16961,Akıllı Saat / Bileklik,Apple Watch SE 2 44mm GPS+Cellular,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,16836,,,,,WR50,Evet,,,,,,,,18
16962,Kulaklık,Bose QuietComfort Ultra,Premium & Hi-Fi,Müzik Dinleme,,,,,,,19069,,,,,,,Kulak Üstü Kablosuz,35mm,20Hz-22.4kHz,WorldWide ANC,6 mikrofon,Bluetooth 5.3,24 saat,
16963,Bilgisayar,Lenovo IdeaPad Slim 3 Ryzen 5,Orta Segment,Öğrenci,AMD Ryzen 5 7520U,16GB,512GB SSD,AMD Radeon 610M,15.6 inç FHD IPS 60Hz,Windows 11 Home,22573,,,,,,,,,,,,,,
16964,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,55741,,,,,,,,,,,,,,
16965,Telefon,Nothing CMF Phone 2 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Dimensity 7300 Pro,6GB,128GB,,6.67 inç AMOLED 120Hz,Android 15,8599,5000,50+2MP,Evet,Hayır,IP52,,,,,,,,,
16966,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38057,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
16967,Bilgisayar,HP Victus 16 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7535HS,16GB,512GB SSD,NVIDIA RTX 4060 8GB,16.1 inç FHD IPS 144Hz,Windows 11 Home,40035,,,,,,,,,,,,,,
16968,Kulaklık,Audio-Technica ATH-M50xBT2,Orta Segment,Stüdyo Kayıt,,,,,,,6025,,,,,,,Kulak Üstü Kablosuz,45mm,15Hz-28kHz,Pasif Yalıtım,2 mikrofon,Bluetooth 5.0,50 saat,
16969,Telefon,iPhone 16 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A18 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,126784,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16970,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,68939,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
16971,Telefon,iPhone Air 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19 Pro,8GB,512GB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,119090,2830,48MP,Evet,Evet,IP68,,,,,,,,,
16972,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 40mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,11690,,,,,5ATM,Evet,,,,,,,,40
16973,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,160927,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16974,Telefon,Asus ROG Phone 9 Pro 512GB,Amiral Gemisi,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.78 inç AMOLED 185Hz,Android 15,54866,5800,50+13+5MP,Evet,Evet,IP54,,,,,,,,,
16975,Tablet,Lenovo Tab P12 Pro Wi-Fi 256GB,Üst Segment,Medya Tüketimi,Snapdragon 870,8GB,256GB,,12.6 inç AMOLED 120Hz,Android 13,21990,,,Hayır,Hayır,Yok,,,,,,,,,
16976,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,37999,,,Hayır,Evet,IP68,,,,,,,,,
16977,Telefon,iPhone 17e 512GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,512GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,74602,3279,48MP,Evet,Evet,IP68,,,,,,,,,
